timestamp,group,transcription,rbd,grade,date,length,length (secs),NUM-OPER,PATR-ALG,GEOM,MEDIC,DATOS,ADMIN,EXPON,FEED,PREG,ESTUD,SISTEMA,NUM
1574172638505,T,1,26436,4 A,2019-11-19,01:04:50,3890,0.16077607641389582,0.170418781763299,0.017271590767737557,0.012151649492319443,0.0014614263987370404,0.04140568858504198,0.1661228860299467,0.19910280873906153,0.04079114008836531,0.030206143661309772,0.03261668884924089,0.12767511921104527
1574171039273,T,1,9998,4 B,2019-11-19,00:37:06,2226,0.22793758779970577,0.033526241672341486,0.050504255478190305,0.013859535675398995,0.0,0.05060053045015186,0.15565394863789522,0.20121826509653057,0.03621415150304063,0.036704150929607764,0.09189905697509465,0.10188227578204248
1574170113309,T,1,9861,4 B,2019-11-19,00:29:25,1765,0.18065014277231417,0.020085858529802526,0.07866149179711789,0.10526657462975186,0.002282217733906149,0.058095471193188385,0.20358204531105178,0.16982900960890843,0.03453076484508474,0.018754078789932967,0.06703578514950621,0.061226559639434845
1574166565734,T,1,9998,4 C,2019-11-19,00:11:00,660,0.184873690957077,0.018278647513575202,0.12932899115734225,0.03911064016531589,0.0,0.01612497210177654,0.10595897421257798,0.19930236207332153,0.09036473244607607,0.0076324654658767735,0.11236984048749749,0.09665468341956324
1574166551703,T,1,26436,4 C,2019-11-19,00:45:45,2745,0.1402213832346937,0.17422814743419596,0.01757593393574238,0.016205404877647545,0.005525090257679107,0.06197437058985788,0.1694813472092156,0.22314947521532144,0.05199421887226967,0.027591594798460965,0.02469060595695898,0.08736242761795604
1574089322471,T,1,9875,4 A,2019-11-18,00:50:20,3020,0.3468801631126429,0.01737858823620217,0.0018225045160132085,0.005661700790254937,0.010027707925167408,0.04551549860874503,0.13202738698128974,0.17008277856083734,0.07643234656563605,0.06158699758763018,0.056047245209521354,0.07653708190606014
1574080248358,T,1,9875,4 B,2019-11-18,00:32:41,1961,0.4073324557154969,0.017612181772710733,0.0,0.008938733270282405,0.012192953521521693,0.032042404963066304,0.13941746622346132,0.13602257386963817,0.059543457066572644,0.020603761216502436,0.09319015999115815,0.07310385238958936
1573742260191,T,1,9959,4 D,2019-11-14,00:31:37,1897,0.32327621572040594,0.02333183813137616,0.01931683536378221,0.02900444521031046,0.0,0.039176948695157573,0.15230134304941234,0.198919499846614,0.06705103259098126,0.059366914503101595,0.024446673177112577,0.06380825371174563
1573740683060,T,1,8544,4 A,2019-11-14,01:11:43,4303,0.1653716980735736,0.032416784777794055,0.06580518957628285,0.15749336578325493,0.001335367534421139,0.031227608456124028,0.14347551876216788,0.15850214024776169,0.04211623172567648,0.027066549417886433,0.06522986136294044,0.10995968428211644
1573734622074,T,1,26436,4 E,2019-11-14,00:43:27,2607,0.150449223857889,0.1556260298631354,0.01386265069920216,0.005589733585185532,0.0,0.06009602674103739,0.15751205158418358,0.21441513283035793,0.04661408890378571,0.04161313221763116,0.04417277157442597,0.1100491581431659
1573734080353,T,1,8544,4 C,2019-11-14,00:54:53,3293,0.18385049608349793,0.03193248208609765,0.0755609848350584,0.15254389647423416,0.0036216537009456555,0.03591100579978563,0.12586692040995168,0.17262238660529466,0.04520052847368963,0.031502697884251404,0.06493581665812351,0.07645113098906915
1573655120239,T,1,9959,4 C,2019-11-13,01:09:02,4142,0.22377633862202453,0.0241795003702498,0.031506546152424826,0.056397336651521,0.0,0.04906991576098744,0.17744280759702544,0.20340484167467626,0.0588611517050416,0.03967054655505734,0.0477875824639066,0.08790343244708529
1573653306746,T,1,10162,4 C,2019-11-13,00:53:26,3206,0.24415571007852485,0.03375756261155889,0.01176955239701506,0.013659170836045587,0.005592201329767486,0.04634436272120896,0.18664395675941417,0.1702024989957699,0.06192267040575927,0.02503931028865861,0.057634504276065195,0.14327849930021186
1573648538270,T,1,10162,4 B,2019-11-13,00:43:15,2595,0.27173452985373037,0.0325360809875336,0.003192166164398035,0.014134979558533198,0.004770018049904818,0.06426931698923248,0.19614266224398014,0.16431393001988168,0.04931840293727581,0.048020022706900256,0.03756621161512617,0.11400167887350365
1573561244407,T,1,26436,4 D,2019-11-12,00:55:03,3303,0.10594706027085067,0.017808600765674046,0.011823250705946482,0.006998682004305274,0.09837896425483064,0.030865974655323678,0.18866102819389724,0.30470243364909533,0.05589763287530937,0.0479580905059804,0.037421370252573444,0.09353691186621357
1573486322321,T,1,9959,4 A,2019-11-11,00:50:56,3056,0.3393338499683498,0.023319051232786818,0.023971582489741784,0.022792307141984266,0.0,0.039452619029080024,0.14402451743134728,0.18527985056632795,0.04330283627033435,0.04958644140946074,0.03821537851296558,0.09072156594762164
1573481776449,T,1,9959,4 E,2019-11-11,00:47:20,2840,0.32789706326795226,0.02259822445826029,0.02508712774784545,0.027990394035046523,0.003435971054022029,0.037765965106527986,0.15781996469487058,0.20339010440303168,0.04795142720781929,0.05151767991898493,0.031769597011347565,0.06277648109429175
1573137057061,T,1,9959,4 D,2019-11-07,00:48:44,2924,0.24391549436316523,0.033299829822652595,0.007918053944755839,0.01566353783928663,0.0018567415149472965,0.03727722528431504,0.15859338547821553,0.199511453901853,0.06913810997485613,0.028287682563461206,0.03741418852834015,0.1671242967841511
1573135136037,T,1,10162,4 A,2019-11-07,00:59:44,3584,0.29880747680887554,0.03528197319426844,0.01144629019456658,0.012768359338010064,0.0,0.03340453859634901,0.15927845260304874,0.14382261541063612,0.06678180190872388,0.06111324178319671,0.054330796974566914,0.12296445318775807
1573130377175,T,1,10162,4 D,2019-11-07,00:56:46,3406,0.267579500120083,0.029244219463312748,0.013171344432303132,0.01334450629045891,0.005544755755451036,0.0358552637583679,0.18882823821234035,0.15811382403102256,0.044502482731636955,0.06974566949822099,0.06486842639533427,0.10920176931146794
1573048719238,T,1,10162,4 C,2019-11-06,01:00:10,3610,0.25216531106400625,0.022944571165104115,0.012216587140859072,0.019785625144338934,0.004195143169135775,0.03774005555176781,0.20316203735202665,0.13847317821206967,0.05049506163379359,0.03584947205624408,0.07040552242231644,0.15256743508833706
1573043642231,T,1,10162,4 B,2019-11-06,00:48:31,2911,0.278979656552993,0.029863302413831536,0.011064432464370862,0.006426253518379926,0.002617205186188393,0.053868241364262,0.19977219485092826,0.11741160062801978,0.0545268074046248,0.04041606097265479,0.06665879758036496,0.1383954470633817
1550491945985,T,1,9959,4 B,2019-11-11,00:40:27,2427,0.3341410584802612,0.023781054371556858,0.029814857256210626,0.018059130323017057,0.0,0.025557518352644634,0.1361593186644487,0.20855716271341196,0.06524511167449605,0.0556177605804494,0.02465642423951067,0.07841060334399289
