vuelt,niñ,2
niñ,si,4
si,trabaj,2
trabaj,entonc,2
respond,niñ,2
niñ,chic,1
chic,respond,2
vam,clas,2
clas,hor,2
hor,seman,2
seman,tiemp,2
tiemp,clas,2
pued,mal,2
mal,pong,4
pong,mal,4
pong,quien,2
quien,pong,2
mal,bien,2
voy,ver,2
ayud,primer,2
primer,pregunt,2
pregunt,dij,2
dij,compañer,2
compañer,mir,2
unidad,cuant,2
cuant,cer,2
cer,40,2
40,200,2
200,12,1
12,sum,1
sum,40,1
40,result,1
result,digam,1
ver,cuant,1
